City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
437,Sidareja,ID,74.53,overcast clouds,-7.4846,108.7923,Rumah Azis Toox
438,Bengkulu,ID,76.19,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
440,Olinda,BR,83.93,light rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
444,High Rock,BS,82.42,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
452,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
453,Broome,US,85.98,clear sky,42.2506,-75.833,Chenango Valley State Park
454,Tanete,ID,75.74,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
457,Itarema,BR,81.79,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
460,Champerico,GT,86.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
465,Korla,CN,80.1,overcast clouds,41.7597,86.1469,Gulisitan Hotel
470,Puerto Madero,MX,85.53,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
472,Fernley,US,72.28,clear sky,39.608,-119.2518,Super 8 by Wyndham Fernley
473,Noumea,NC,78.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
475,Sompeta,IN,83.97,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
476,Touho,NC,75.9,broken clouds,-20.7833,165.2333,Auberge Timay Evasion
477,Santiago Del Estero,AR,78.28,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
483,Sohag,EG,80.89,clear sky,26.557,31.6948,Civil Registry - Sohag 1
484,Irituia,BR,84.99,scattered clouds,-1.7711,-47.4381,Hotel Irituia
487,Moerai,PF,78.19,few clouds,-22.4333,-151.3333,Le Manotel
489,Tamandare,BR,79.97,clear sky,-8.7597,-35.1047,Pousada 100 Passos
496,Sao Miguel Do Araguaia,BR,85.96,clear sky,-13.275,-50.1628,Hotel Executivo Palace
500,Labuhan,ID,79.52,light rain,-6.8844,112.2051,DoubleFAG
501,Moindou,NC,74.91,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
503,Laguna,US,85.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
504,Red Bluff,US,83.86,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
505,Tura,IN,72.48,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
507,Tecoanapa,MX,85.1,clear sky,16.5167,-98.75,Hotel Manglares
509,San Juan,AR,76.37,scattered clouds,-31.5375,-68.5364,Hotel Provincial
512,Yantzaza,EC,81.75,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
513,Fare,PF,80.55,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
522,Axim,GH,76.17,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
523,Namatanai,PG,79.05,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
526,Parambu,BR,79.05,overcast clouds,-6.2111,-40.6944,Recanto das Amoras
527,Chato,TZ,72.43,overcast clouds,-2.6378,31.7669,Kagudule Lodge
528,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
